id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q335791,Herbert Morrison,1951,1955-c.,,Q333080,,
Q333080,Selwyn Lloyd,1964-10-16,1965-08-04,Q335791,Q333371,,
Q333371,Fred Peart,1970-06-19,1971-12-16,Q333080,Q332419,,
Q332419,Michael Foot,1971-12-16,1972-12-06,Q333371,Q333944,,
Q333944,"Edward Short, Baron Glenamara",1972-12-06,1974-03-04,Q332419,Q333412,,
Q333412,"James Prior, Baron Prior",1974-03-04,1974-10-29,Q333944,Q1701413,,
Q1701413,"John Peyton, Baron Peyton of Yeovil",1974-10-29,1976-11-19,Q333412,Q332759,,
Q332759,Francis Pym,1976-11-19,1978-11-20-Approx.,Q1701413,Q333578,,
Q333578,"Norman St John-Stevas, Baron St John of Fawsley",1978-11-20-Approx.,1979-05-05,Q332759,Q332419,,
Q332419,Michael Foot,1979-05-04,1980-12-08,Q333578,Q6257849,,
Q6257849,John Silkin,1980-12-08,1983-10-30,Q332419,Q7176922,,
Q7176922,Peter Shore,1983-10-30,1987-07-13,Q6257849,Q300182,,
Q300182,Frank Dobson,1987-07-13,1989-11-02,Q7176922,Q336214,,
Q336214,"Jack Cunningham, Baron Cunningham of Felling",1989-11-02,1992-07-24,Q300182,Q232639,,
Q232639,Margaret Beckett,1992-07-24,1994-05-13,Q336214,Q265935,,
Q265935,Nick Brown,1994-05-13,1994-07-21,Q232639,Q232639,,
Q232639,Margaret Beckett,1994-07-21,1994-10-20,Q265935,Q332843,,
Q332843,"Ann Taylor, Baroness Taylor of Bolton",1994-10-20,1997-05-02,Q232639,Q334258,,
Q334258,Alastair Goodlad,1997-05,1997-06-30,Q332843,Q333058,,
Q333058,Gillian Shephard,1997-06-30,1998-06-02,Q334258,Q259836,,
Q259836,"Sir George Young, 6th Baronet",1998-06-01,2000-09-22,Q333058,Q532347,,
Q532347,Angela Browning,2000-09-26,2001-09-18,Q259836,Q5386503,,
Q5386503,Eric Forth,2001-09-18,2003-11-10,Q532347,Q478711,,
Q478711,Oliver Heald,2003-11-10,2005-05-10,Q5386503,Q337453,,
Q337453,Chris Grayling,2005-05-10,2005-12-08,Q478711,Q264766,,
Q264766,Theresa May,2005-12-08,2009-01-19,Q337453,Q302417,,
Q302417,Alan Duncan,2009-01-19,2009-09-07,Q264766,Q259836,,
Q259836,"Sir George Young, 6th Baronet",2009-09-08,2010-05-11,Q302417,Q261773,,
Q261773,Rosie Winterton,2010-05-12,2010-10-08,Q259836,Q262742,,
Q262742,Hilary Benn,2010-10-08,2011-10-07,Q261773,Q302763,,
Q302763,Angela Eagle,2011-10-07,2015-09-13,Q262742,Q266146,,
Q266146,Chris Bryant,2015-09-13,2016-06-26,Q302763,Q390611,,
Q390611,Paul Flynn (politician),2016-07-04,2016-10-06,Q266146,Q266978,,
Q266978,Valerie Vaz,2016-10-06,,Q390611,,,
